Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,4.7367,4.3275,0.0216,0.0765
2,4.1263,3.7296,0.1461,0.3078
3,3.5573,3.1110,0.3922,0.5216
4,2.9830,2.5573,0.5706,0.6343
5,2.5108,2.1061,0.6745,0.7088
6,2.1006,1.7668,0.7402,0.7520
7,1.7943,1.4938,0.7882,0.7843
8,1.5112,1.2856,0.8392,0.8127
9,1.2951,1.1327,0.8637,0.8412
10,1.1265,1.0027,0.8824,0.8588
11,0.9647,0.8990,0.9098,0.8676
12,0.8889,0.8131,0.9010,0.8735
13,0.7839,0.7468,0.9147,0.8765
14,0.7007,0.7004,0.9225,0.8902
15,0.6493,0.6530,0.9353,0.8990
16,0.5764,0.6184,0.9294,0.8961
17,0.5184,0.5857,0.9461,0.8990
18,0.5073,0.5542,0.9373,0.9059
19,0.4347,0.5334,0.9539,0.9069
20,0.3791,0.5128,0.9618,0.9137
21,0.3970,0.4954,0.9539,0.9127
22,0.4147,0.4771,0.9402,0.9118
23,0.3748,0.4734,0.9578,0.9147
24,0.3500,0.4510,0.9520,0.9206
25,0.3320,0.4398,0.9549,0.9235
26,0.3166,0.4313,0.9598,0.9245
27,0.2842,0.4219,0.9676,0.9235
28,0.2494,0.4135,0.9706,0.9225
29,0.2427,0.4088,0.9676,0.9225
30,0.2460,0.4028,0.9686,0.9265
31,0.2237,0.3938,0.9735,0.9275
32,0.2246,0.3917,0.9735,0.9304
33,0.2259,0.3972,0.9765,0.9284
34,0.2530,0.3918,0.9716,0.9275
35,0.2146,0.3920,0.9775,0.9245
36,0.2433,0.3948,0.9706,0.9294
37,0.2418,0.3918,0.9716,0.9284
38,0.2309,0.3912,0.9647,0.9265
39,0.2565,0.3888,0.9637,0.9235
40,0.1984,0.3997,0.9853,0.9284
41,0.2518,0.3890,0.9647,0.9275
42,0.2293,0.3861,0.9735,0.9245
43,0.2315,0.3877,0.9716,0.9255
44,0.2372,0.3903,0.9706,0.9284
45,0.2179,0.3809,0.9706,0.9284
46,0.2316,0.3815,0.9686,0.9265
47,0.2113,0.3850,0.9735,0.9304
48,0.2456,0.3822,0.9676,0.9304
49,0.2408,0.3869,0.9676,0.9314
50,0.2144,0.3839,0.9716,0.9294
