Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,4.7557,4.4227,0.0157,0.0471
2,4.3051,3.9703,0.0745,0.2127
3,3.8614,3.4903,0.2892,0.4167
4,3.3898,3.0142,0.4725,0.5618
5,2.9682,2.5509,0.5941,0.6559
6,2.5911,2.1898,0.6902,0.7118
7,2.2331,1.8617,0.7284,0.7422
8,1.9834,1.6434,0.7873,0.7696
9,1.7492,1.4535,0.8029,0.7990
10,1.5483,1.3002,0.8225,0.8294
11,1.3600,1.1591,0.8578,0.8333
12,1.2313,1.0665,0.8765,0.8578
13,1.1440,0.9754,0.8696,0.8667
14,1.0235,0.8999,0.8941,0.8735
15,0.9164,0.8405,0.9039,0.8706
16,0.8396,0.7967,0.9127,0.8784
17,0.7821,0.7501,0.9118,0.8853
18,0.7031,0.7131,0.9314,0.8892
19,0.7313,0.6831,0.9069,0.8951
20,0.6680,0.6557,0.9216,0.8971
21,0.6069,0.6238,0.9343,0.8961
22,0.5777,0.6149,0.9324,0.8961
23,0.5418,0.5821,0.9412,0.9039
24,0.5012,0.5640,0.9480,0.9088
25,0.4962,0.5514,0.9451,0.9039
26,0.4490,0.5397,0.9510,0.9078
27,0.4567,0.5229,0.9500,0.9108
28,0.4339,0.5114,0.9451,0.9098
29,0.4113,0.5002,0.9549,0.9118
30,0.3831,0.5010,0.9500,0.9127
31,0.3953,0.4886,0.9461,0.9088
32,0.3676,0.4892,0.9598,0.9108
33,0.3645,0.4905,0.9608,0.9157
34,0.3435,0.4859,0.9657,0.9088
35,0.3440,0.4821,0.9667,0.9157
36,0.3613,0.4900,0.9618,0.9127
37,0.3161,0.4859,0.9686,0.9127
38,0.3350,0.4853,0.9569,0.9137
39,0.3375,0.4877,0.9676,0.9127
40,0.3894,0.4885,0.9510,0.9088
41,0.3555,0.4792,0.9539,0.9127
42,0.3685,0.4789,0.9618,0.9147
43,0.3693,0.4833,0.9539,0.9098
44,0.3503,0.4841,0.9608,0.9118
45,0.3372,0.4743,0.9598,0.9147
46,0.3434,0.4768,0.9598,0.9147
47,0.3527,0.4803,0.9569,0.9118
48,0.3566,0.4786,0.9539,0.9108
49,0.3277,0.4756,0.9618,0.9098
50,0.3368,0.4666,0.9627,0.9157
