Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,4.7004,4.3895,0.0147,0.0529
2,4.2111,3.9155,0.1059,0.2333
3,3.7612,3.4150,0.3088,0.4147
4,3.2879,2.8928,0.4804,0.5353
5,2.8512,2.4419,0.5922,0.6118
6,2.4861,2.1037,0.6598,0.6696
7,2.1627,1.8467,0.7147,0.7088
8,1.9419,1.6306,0.7461,0.7353
9,1.6600,1.4729,0.8127,0.7765
10,1.4988,1.3319,0.8069,0.7941
11,1.3577,1.1867,0.8471,0.8167
12,1.2418,1.1235,0.8686,0.8265
13,1.0977,1.0210,0.8794,0.8304
14,1.0049,0.9529,0.8804,0.8480
15,0.9108,0.8835,0.8931,0.8520
16,0.7953,0.8294,0.9265,0.8578
17,0.7855,0.7831,0.9049,0.8696
18,0.6948,0.7535,0.9186,0.8667
19,0.6299,0.7189,0.9412,0.8667
20,0.6165,0.7016,0.9275,0.8706
21,0.5629,0.6586,0.9373,0.8824
22,0.5426,0.6265,0.9392,0.8902
23,0.5171,0.6052,0.9402,0.8873
24,0.4851,0.6063,0.9392,0.8824
25,0.4481,0.5670,0.9569,0.8990
26,0.4429,0.5686,0.9490,0.8961
27,0.3908,0.5500,0.9569,0.8922
28,0.4264,0.5317,0.9412,0.8922
29,0.3643,0.5250,0.9608,0.8951
30,0.3847,0.5235,0.9549,0.8990
31,0.3478,0.5098,0.9618,0.9069
32,0.3244,0.5029,0.9667,0.8980
33,0.3628,0.4932,0.9578,0.9049
34,0.3610,0.4915,0.9598,0.9069
35,0.3697,0.4939,0.9510,0.9020
36,0.3536,0.4918,0.9520,0.9049
37,0.3661,0.4889,0.9500,0.9098
38,0.3732,0.4917,0.9578,0.9078
39,0.3545,0.4882,0.9588,0.9059
40,0.3265,0.4937,0.9647,0.9088
41,0.3724,0.4872,0.9490,0.9029
42,0.3457,0.4888,0.9559,0.9059
43,0.3292,0.4982,0.9578,0.9088
44,0.3355,0.4853,0.9569,0.9078
45,0.3302,0.4931,0.9588,0.9078
46,0.3059,0.4934,0.9637,0.9078
47,0.3262,0.4867,0.9618,0.9059
48,0.3184,0.4832,0.9647,0.9098
49,0.3232,0.4892,0.9627,0.9059
50,0.3023,0.4825,0.9637,0.9029
