Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,4.6938,4.3728,0.0147,0.0804
2,4.2212,3.8982,0.1206,0.2588
3,3.7541,3.3844,0.3216,0.4510
4,3.2675,2.8553,0.4980,0.5618
5,2.8044,2.4634,0.6088,0.6363
6,2.4319,2.0758,0.6892,0.6941
7,2.1545,1.7987,0.7196,0.7304
8,1.8906,1.5824,0.7608,0.7559
9,1.6476,1.4041,0.8010,0.7912
10,1.4937,1.2803,0.8265,0.8049
11,1.3188,1.1605,0.8510,0.8245
12,1.1799,1.0346,0.8804,0.8343
13,1.0743,0.9809,0.8784,0.8471
14,0.9906,0.9082,0.8765,0.8490
15,0.8667,0.8374,0.8990,0.8618
16,0.8323,0.8056,0.9010,0.8588
17,0.7677,0.7662,0.9235,0.8706
18,0.7063,0.7404,0.9275,0.8706
19,0.6473,0.6787,0.9245,0.8794
20,0.6139,0.6663,0.9343,0.8833
21,0.5967,0.6256,0.9333,0.8941
22,0.5684,0.6056,0.9363,0.9020
23,0.5465,0.5962,0.9333,0.8931
24,0.5007,0.5748,0.9333,0.8941
25,0.4760,0.5561,0.9392,0.8882
26,0.4367,0.5413,0.9500,0.9000
27,0.4248,0.5286,0.9402,0.9118
28,0.4364,0.5077,0.9480,0.9118
29,0.3801,0.5130,0.9559,0.9069
30,0.3979,0.5001,0.9461,0.9069
31,0.3322,0.4953,0.9618,0.9039
32,0.3269,0.4947,0.9647,0.9049
33,0.3251,0.4967,0.9657,0.9069
34,0.3640,0.4983,0.9588,0.9029
35,0.3153,0.4889,0.9637,0.9078
36,0.3264,0.4831,0.9696,0.9049
37,0.3090,0.4868,0.9637,0.9137
38,0.3301,0.4905,0.9627,0.9118
39,0.3400,0.4853,0.9559,0.9098
40,0.3258,0.4822,0.9647,0.9118
41,0.3195,0.4792,0.9608,0.9108
42,0.3284,0.4909,0.9549,0.9167
43,0.3364,0.4807,0.9627,0.9127
44,0.3194,0.4823,0.9667,0.9147
45,0.3309,0.4861,0.9676,0.9127
46,0.3269,0.4709,0.9598,0.9147
47,0.3388,0.4763,0.9588,0.9088
48,0.3355,0.4680,0.9618,0.9108
49,0.3292,0.4813,0.9578,0.9118
50,0.3780,0.4751,0.9559,0.9118
